UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total_Students,WEAPON11,DRUG11,LIQUOR11,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13
184782001,Rowan University,Main Campus,201 MULLICA HILL RD,GLASSBORO,NJ,08028,1,"Public, 4-year or above",6483,6866,13349,0,51,477,0,29,440,0,31,311
185129001,New Jersey City University,Main Campus,2039 KENNEDY BLVD,JERSEY CITY,NJ,07305,1,"Public, 4-year or above",3135,5307,8442,1,2,2,0,1,4,1,0,3
185262001,Kean University,Main Campus,1000 MORRIS AVE,UNION,NJ,070830411,1,"Public, 4-year or above",5349,9055,14404,1,24,86,1,8,174,0,44,88
185572001,Monmouth University,Monmouth University,400 CEDAR AVE,WEST LONG BRANCH,NJ,077641898,2,"Private nonprofit, 4-year or above",2285,4031,6316,1,10,74,1,11,123,3,20,100
185590001,Montclair State University,Main Campus,VALLEY RD AND NORMAL AVE,MONTCLAIR,NJ,070431624,1,"Public, 4-year or above",7152,12312,19464,0,1,2,0,2,2,0,3,4
185828001,New Jersey Institute of Technology,Main Campus,UNIVERSITY HTS,NEWARK,NJ,071021982,1,"Public, 4-year or above",7547,2583,10130,1,19,13,0,5,2,0,9,17
186131001,Princeton University,Main Campus,1 Nassau Hall,PRINCETON,NJ,085440070,2,"Private nonprofit, 4-year or above",4397,3617,8014,3,56,35,0,45,28,0,27,36
186201001,Ramapo College of New Jersey,Main Campus,505 RAMAPO VALLEY RD,MAHWAH,NJ,074301680,1,"Public, 4-year or above",2576,3276,5852,2,24,592,6,13,397,8,21,350
186283001,Rider University,Main Campus,2083 LAWRENCEVILLE ROAD,LAWRENCEVILLE,NJ,086483099,2,"Private nonprofit, 4-year or above",2171,3239,5410,0,13,271,0,9,208,0,6,219
186283002,Rider University,Westminster Choir College of Rider University,101 Walnut Lane,Princeton,NJ,08540,2,"Private nonprofit, 4-year or above",2171,3239,5410,0,2,17,0,0,4,0,0,9
186371001,Rutgers University-Camden,Rutgers University-Camden Division,303 Cooper Street,CAMDEN,NJ,08102,1,"Public, 4-year or above",2995,3269,6264,0,15,43,2,36,52,6,46,63
186380001,Rutgers University-New Brunswick,Main Campus,83 SOMERSET ST,NEW BRUNSWICK,NJ,089011281,1,"Public, 4-year or above",22267,25769,48036,0,105,792,0,0,632,0,0,694
186399001,Rutgers University-Newark,Rutgers University - Newark,123 Washington Street,NEWARK,NJ,07102,1,"Public, 4-year or above",5842,5370,11212,0,13,58,0,36,83,0,27,62
186432001,Saint Peter's University,Main Campus,2641 KENNEDY BLVD,JERSEY CITY,NJ,073065997,2,"Private nonprofit, 4-year or above",1214,1980,3194,0,16,31,2,26,25,0,21,45
186584001,Seton Hall University,Main Campus,400 S ORANGE AVE,SOUTH ORANGE,NJ,070792697,2,"Private nonprofit, 4-year or above",4061,5842,9903,0,22,199,0,34,213,1,50,212
186618001,College of Saint Elizabeth,College of Saint Elizabeth,2 Convent Road,Morristown,NJ,079606989,2,"Private nonprofit, 4-year or above",178,1374,1552,0,0,2,0,0,18,0,2,25
186867001,Stevens Institute of Technology,Main Campus,1 CASTLE POINT ON HUDSON,HOBOKEN,NJ,070305991,2,"Private nonprofit, 4-year or above",4261,1523,5784,0,4,33,0,14,37,0,18,44
186876001,The Richard Stockton College of New Jersey,Main Campus,101 Vera King Farris Drive,Galloway,NJ,082059441,1,"Public, 4-year or above",3279,5179,8458,1,34,154,1,35,222,2,34,397
187134001,The College of New Jersey,Main Campus,2000 Pennington Road,Ewing,NJ,086280718,1,"Public, 4-year or above",2958,4382,7340,0,23,317,3,14,367,0,6,352
187444001,William Paterson University of New Jersey,Main Campus,300 POMPTON RD,WAYNE,NJ,074702103,1,"Public, 4-year or above",4904,6510,11414,0,159,548,0,120,452,1,156,327
188340001,Vaughn College of Aeronautics and Technology,Main Campus,86-01 23RD AVE,Flushing,NY,11369,2,"Private nonprofit, 4-year or above",1524,217,1741,0,6,11,0,8,15,0,15,12
188429001,Adelphi University,Main Campus,ONE SOUTH AVE,GARDEN CITY,NY,11530,2,"Private nonprofit, 4-year or above",2068,5577,7645,0,18,144,0,15,83,0,9,59
188526001,Albany College of Pharmacy and Health Sciences,Albany College of Pharmacy and Health Sciences,106 NEW SCOTLAND AVE,ALBANY,NY,122083492,2,"Private nonprofit, 4-year or above",658,981,1639,0,30,45,0,11,52,0,8,91
188641001,Alfred University,Main Campus,ONE SAXON DR,ALFRED,NY,148021205,2,"Private nonprofit, 4-year or above",1120,1311,2431,0,98,144,0,92,99,0,60,76
189088001,Bard College,Main Campus,30 Campus Road,Red Hook,NY,12571,2,"Private nonprofit, 4-year or above",1028,1327,2355,0,57,116,0,76,109,0,93,158
189097001,Barnard College,Main Campus,3009 BROADWAY,NEW YORK,NY,100276598,2,"Private nonprofit, 4-year or above",0,2489,2489,0,12,104,0,13,136,0,10,71
189705001,Canisius College,Main Campus,2001 MAIN ST,BUFFALO,NY,142081098,2,"Private nonprofit, 4-year or above",2078,2459,4537,0,40,149,0,23,237,0,27,190
189848001,Cazenovia College,Main Campus,22 Sullivan St,CAZENOVIA,NY,13035,2,"Private nonprofit, 4-year or above",297,780,1077,0,2,139,2,12,132,0,9,257
190044001,Clarkson University,Main Campus,10 Clarkson Ave.,POTSDAM,NY,136995557,2,"Private nonprofit, 4-year or above",2616,1110,3726,3,33,127,13,61,146,8,92,129
190099001,Colgate University,Main Campus,13 OAK DR,HAMILTON,NY,133461398,2,"Private nonprofit, 4-year or above",1297,1603,2900,1,123,151,2,111,243,4,134,227
190150001,Columbia University in the City of New York,Morningside Campus,116 ST AND BROADWAY,NEW YORK,NY,10027,2,"Private nonprofit, 4-year or above",13303,13654,26957,0,134,169,2,147,136,3,176,100
