UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON11,DRUG11,LIQUOR11,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13
128498001,Albertus Magnus College,Main Campus,700 PROSPECT ST,NEW HAVEN,CT,065111189,2,"Private nonprofit, 4-year or above",520,1062,1582,0,0,0,0,0,0,0,0,0
128744001,University of Bridgeport,Main Campus,126 Park Avenue,Bridgeport,CT,06604,2,"Private nonprofit, 4-year or above",1820,3022,4842,0,0,0,0,0,0,0,0,0
128771001,Central Connecticut State University,Main Campus,1615 STANLEY ST,NEW BRITAIN,CT,06050,1,"Public, 4-year or above",5828,6037,11865,0,2,24,0,20,15,0,14,13
128902001,Connecticut College,Connecticut College,270 MOHEGAN AVE,NEW LONDON,CT,06320,2,"Private nonprofit, 4-year or above",759,1163,1922,0,2,1,0,4,0,0,1,1
129020001,University of Connecticut,Main Campus,126 North Eagleville Road,STORRS,CT,062693070,1,"Public, 4-year or above",12957,12954,25911,3,164,44,4,193,20,5,164,14
129215001,Eastern Connecticut State University,Eastern Connecticut State University,83 WINDHAM ST,WILLIMANTIC,CT,06226,1,"Public, 4-year or above",2444,2924,5368,0,17,0,0,12,1,0,26,137
129242001,Fairfield University,Main Campus,1073 NORTH BENSON RD,FAIRFIELD,CT,068245195,2,"Private nonprofit, 4-year or above",1905,3014,4919,0,24,0,0,32,0,0,52,0
129525001,University of Hartford,Main Campus,200 BLOOMFIELD AVE,WEST HARTFORD,CT,061171599,2,"Private nonprofit, 4-year or above",3228,3592,6820,0,13,0,0,13,0,0,14,0
129941001,University of New Haven,University of New Haven,300 Boston Post Rd.,WEST HAVEN,CT,06516,2,"Private nonprofit, 4-year or above",3300,3255,6555,0,12,3,0,21,1,0,20,9
130226001,Quinnipiac University,Main Campus,275 MOUNT CARMEL AVE,HAMDEN,CT,06518,2,"Private nonprofit, 4-year or above",3275,5528,8803,0,5,0,0,3,0,0,6,0
130253001,Sacred Heart University,Main Campus,5151 PARK AVE,FAIRFIELD,CT,068251000,2,"Private nonprofit, 4-year or above",2265,4718,6983,0,4,0,0,2,0,0,3,0
130493001,Southern Connecticut State University,Main Campus,501 CRESCENT STREET,NEW HAVEN,CT,065151355,1,"Public, 4-year or above",3887,6917,10804,0,15,76,0,12,49,0,35,58
130590001,Trinity College,Main Campus Trinity College,300 SUMMIT ST,HARTFORD,CT,061063100,2,"Private nonprofit, 4-year or above",1217,1173,2390,0,3,2,0,1,0,0,0,0
130697001,Wesleyan University,Main Campus,229 HIGH ST,MIDDLETOWN,CT,06459,2,"Private nonprofit, 4-year or above",1539,1666,3205,0,7,0,0,2,0,0,2,1
130776001,Western Connecticut State University,Mid Town Campus,181 WHITE ST,DANBURY,CT,068106860,1,"Public, 4-year or above",2752,3273,6025,0,0,3,0,0,0,0,0,0
130776002,Western Connecticut State University,West Side Campus,43 Lake Ave. Extension,Danbury,CT,068106860,1,"Public, 4-year or above",2752,3273,6025,0,0,3,0,0,3,0,1,0
130794001,Yale University,Main Campus,105 Wall Street,NEW HAVEN,CT,06520,2,"Private nonprofit, 4-year or above",6148,5961,12109,0,11,37,1,52,27,1,38,20
183822001,Bloomfield College,Main Campus,467 FRANKLIN ST,BLOOMFIELD,NJ,070033494,2,"Private nonprofit, 4-year or above",688,1291,1979,0,0,0,0,0,0,0,0,0
183910001,Caldwell College,Main Campus,120 Bloomfield AVE,CALDWELL,NJ,070066195,2,"Private nonprofit, 4-year or above",602,1558,2160,0,2,1,0,0,0,0,2,0
183974001,Centenary College,Hackettstown,400 JEFFERSON ST,HACKETTSTOWN,NJ,07840,2,"Private nonprofit, 4-year or above",883,1517,2400,0,1,0,0,3,0,0,2,0
184348001,Drew University,Main Campus,36 MADISON AVE,MADISON,NJ,07940,2,"Private nonprofit, 4-year or above",942,1349,2291,0,9,0,0,8,0,0,4,0
184603001,Fairleigh Dickinson University-Metropolitan Campus,Metropolitan,1000 RIVER RD,TEANECK,NJ,07666,2,"Private nonprofit, 4-year or above",3455,5091,8546,0,4,0,0,0,0,0,3,0
184612001,Felician College,Main Campus,1 Felician Way,Rutherford,NJ,07070,2,"Private nonprofit, 4-year or above",501,1432,1933,0,0,0,0,3,0,0,0,0
184694001,Fairleigh Dickinson University-College at Florham,Florham,285 MADISON AVE,MADISON,NJ,07940,2,"Private nonprofit, 4-year or above",1302,1727,3029,0,19,4,0,11,8,1,7,1
184773001,Georgian Court University,Main Campus,900 LAKEWOOD AVE,LAKEWOOD,NJ,087012697,2,"Private nonprofit, 4-year or above",420,1837,2257,0,0,0,0,0,0,0,0,0
184782001,Rowan University,Main Campus,201 MULLICA HILL RD,GLASSBORO,NJ,08028,1,"Public, 4-year or above",6483,6866,13349,0,25,22,1,19,8,0,48,10
185129001,New Jersey City University,Main Campus,2039 KENNEDY BLVD,JERSEY CITY,NJ,07305,1,"Public, 4-year or above",3135,5307,8442,0,0,0,0,0,0,0,1,0
185262001,Kean University,Main Campus,1000 MORRIS AVE,UNION,NJ,070830411,1,"Public, 4-year or above",5349,9055,14404,2,18,86,0,9,5,0,38,9
185572001,Monmouth University,Monmouth University,400 CEDAR AVE,WEST LONG BRANCH,NJ,077641898,2,"Private nonprofit, 4-year or above",2285,4031,6316,2,11,37,0,6,42,0,11,34
